Despacho,OV,NombreProducto,FechaCorte,Parte,Descripción,Despacho Cantidad en Unidades,Despacho Unidad de Medida Unidades,Proyecto,Precio Unitario,V. VTA,Guia de Remisión,Fecha Despacho,Comentario por Linea,Tipo Embarque,NombreArchivo,Cuentas,Paquetes,Courier,OT
92016,369678,RECIBO ENSOBRADO A5 MOVIL,12/11/2019,120404410000002,SERV. TRANSPROMO,168,UND,C000000048,0.0204,3.4272,005-0745113,04/12/2019,"Descripción - Indicaciones Pendientes Ciclo 12.11.2019_170 MGM
 Comentarios - 1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125
  2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43
 PAQ - 02
 Courier - COURIER S.MARTIN DE PORRES S.A
 IdAutomata - 0
 FechaCorte - 12/11/2019",5,1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125 / 2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43,168,2,COURIER S.MARTIN DE PORRES S.A,239663
92059,369836,INSUMOS,,120404403000004,SOBRE CLARO 23 X 31.5 CM,300,UND,C000000048,0.395,118.5,005-0745151,04/12/2019,,1,,,,,
92052,369885,CARTAS + FACTURA BOLETA APADECE CORPORATIVA,04/12/2019,60404430000057,CARTAS + FACTURA BOLETA APADECE CORPORATIVA,533,UND,C000000048,0,0,005-0745145,04/12/2019,"IMPRESIONES= 533
 PREFORMAS = 533
 CUENTAS= 533
 PAQUETES= 1
 TRANSPORTA= URBANO
 DESTINO= AMERICA MOVIL PERU S.A.C",5,1 : Apadece Corp. Morosidad Y Portab Nov_353_SP_hoja_1_PROD_A4.pdf - 533,533,0,URBANO EXPRESS PERU SA,
92052,369885,CARTAS + FACTURA BOLETA APADECE CORPORATIVA,04/12/2019,120404401000021,PREFORMA TPI 0616 CONTINUA,533,UND,C000000048,0.03744,19.95552,005-0745145,04/12/2019,"IMPRESIONES= 533
 PREFORMAS = 533
 CUENTAS= 533
 PAQUETES= 1
 TRANSPORTA= URBANO
 DESTINO= AMERICA MOVIL PERU S.A.C",5,1 : Apadece Corp. Morosidad Y Portab Nov_353_SP_hoja_1_PROD_A4.pdf - 533,533,0,URBANO EXPRESS PERU SA,
92052,369885,CARTAS + FACTURA BOLETA APADECE CORPORATIVA,04/12/2019,120404406000002,SERV. IMPRESION VARIABLE A4,533,UND,C000000048,0.0425,22.6525,005-0745145,04/12/2019,"IMPRESIONES= 533
 PREFORMAS = 533
 CUENTAS= 533
 PAQUETES= 1
 TRANSPORTA= URBANO
 DESTINO= AMERICA MOVIL PERU S.A.C",5,1 : Apadece Corp. Morosidad Y Portab Nov_353_SP_hoja_1_PROD_A4.pdf - 533,533,0,URBANO EXPRESS PERU SA,
92365,370042,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,04/12/2019,60404430000029,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,"6,328.00",UND,C000000048,0,0,005-0745397,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGM_AUTO
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143
  2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196418
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143 / 2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185,6328,2,URBANO EXPRESS PERU SA,239669
92365,370042,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,04/12/2019,120404402000011,PREFORMA CLARO A5 CUADERNILLO 2013 F PLANO,"6,328.00",UND,C000000048,0.0247,156.3016,005-0745397,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGM_AUTO
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143
  2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196418
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143 / 2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185,6328,2,URBANO EXPRESS PERU SA,239669
92365,370042,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,04/12/2019,120404406000003,SERV. IMPRESION VARIABLE A5,"12,656.00",UND,C000000048,0.0175,221.48,005-0745397,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGM_AUTO
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143
  2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196418
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143 / 2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185,6328,2,URBANO EXPRESS PERU SA,239669
92365,370042,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,04/12/2019,120404407000001,SERV. AUTOENSOBRADO,"6,328.00",UND,C000000048,0.04875,308.49,005-0745397,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGM_AUTO
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143
  2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196418
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_AUTOSOBRE_TOTAL_3143.afp - 3143 / 2 : NR_C1128_MGM_PROV_AFP_AUTOSOBRE_TOTAL_3185.afp - 3185,6328,2,URBANO EXPRESS PERU SA,239669
92366,370043,RECIBO AUTOSOBRE A5 FIJA - NUEVO RECIBO,04/12/2019,60404430000043,RECIBO AUTOSOBRE A5 FIJA - NUEVO RECIBO,"4,008.00",UND,C000000048,0,0,005-0745398,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGF_AUTO
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077
  2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931
 PAQ - 0
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196419
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077 / 2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931,4008,0,URBANO EXPRESS PERU SA,239672
92366,370043,RECIBO AUTOSOBRE A5 FIJA - NUEVO RECIBO,04/12/2019,120404402000011,PREFORMA CLARO A5 CUADERNILLO 2013 F PLANO,"4,008.00",UND,C000000048,0.0247,98.9976,005-0745398,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGF_AUTO
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077
  2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931
 PAQ - 0
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196419
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077 / 2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931,4008,0,URBANO EXPRESS PERU SA,239672
92366,370043,RECIBO AUTOSOBRE A5 FIJA - NUEVO RECIBO,04/12/2019,120404406000003,SERV. IMPRESION VARIABLE A5,"8,016.00",UND,C000000048,0.0175,140.28,005-0745398,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGF_AUTO
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077
  2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931
 PAQ - 0
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196419
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077 / 2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931,4008,0,URBANO EXPRESS PERU SA,239672
92366,370043,RECIBO AUTOSOBRE A5 FIJA - NUEVO RECIBO,04/12/2019,120404407000001,SERV. AUTOENSOBRADO,"4,008.00",UND,C000000048,0.04875,195.39,005-0745398,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_MGF_AUTO
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077
  2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931
 PAQ - 0
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196419
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_AUTOSOBRE_TOTAL_2077.afp - 2077 / 2 : NR_C1128_MGF_PROV_AFP_AUTOSOBRE_TOTAL_1931.afp - 1931,4008,0,URBANO EXPRESS PERU SA,239672
92367,370046,RECIBO ENSOBRADO A5 MOVIL,04/12/2019,60404430000003,RECIBO ENSOBRADO A5 MOVIL,"1,065.00",UND,C000000048,0,0,005-0745399,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGM
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421
  2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196427
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421 / 2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644,1065,2,URBANO EXPRESS PERU SA,239663
92367,370046,RECIBO ENSOBRADO A5 MOVIL,04/12/2019,120404402000011,PREFORMA CLARO A5 CUADERNILLO 2013 F PLANO,"2,558.00",UND,C000000048,0.0247,63.1826,005-0745399,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGM
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421
  2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196427
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421 / 2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644,1065,2,URBANO EXPRESS PERU SA,239663
92367,370046,RECIBO ENSOBRADO A5 MOVIL,04/12/2019,120404403000005,SOBRE CLARO JUNIO 2013 - 23 X 15.5 CM,"1,065.00",UND,C000000048,0.08265,88.02225,005-0745399,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGM
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421
  2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196427
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421 / 2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644,1065,2,URBANO EXPRESS PERU SA,239663
92367,370046,RECIBO ENSOBRADO A5 MOVIL,04/12/2019,120404406000003,SERV. IMPRESION VARIABLE A5,"5,116.00",UND,C000000048,0.0175,89.53,005-0745399,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGM
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421
  2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196427
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421 / 2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644,1065,2,URBANO EXPRESS PERU SA,239663
92367,370046,RECIBO ENSOBRADO A5 MOVIL,04/12/2019,120404410000002,SERV. TRANSPROMO,"1,065.00",UND,C000000048,0.0204,21.726,005-0745399,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGM
 Comentarios - 1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421
  2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196427
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGM_LIMA_AFP_RESTANTES_TOTAL_421.afp - 421 / 2 : NR_C1128_MGM_PROV_AFP_RESTANTES_TOTAL_644.afp - 644,1065,2,URBANO EXPRESS PERU SA,239663
92368,370049,RECIBO ENSOBRADO A5 FIJA,04/12/2019,60404430000018,RECIBO ENSOBRADO A5 FIJA,195,UND,C000000048,0,0,005-0745400,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGF
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76
  2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196428
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76 / 2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119,195,2,URBANO EXPRESS PERU SA,239666
92368,370049,RECIBO ENSOBRADO A5 FIJA,04/12/2019,120404402000011,PREFORMA CLARO A5 CUADERNILLO 2013 F PLANO,390,UND,C000000048,0.0247,9.633,005-0745400,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGF
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76
  2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196428
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76 / 2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119,195,2,URBANO EXPRESS PERU SA,239666
92368,370049,RECIBO ENSOBRADO A5 FIJA,04/12/2019,120404403000005,SOBRE CLARO JUNIO 2013 - 23 X 15.5 CM,195,UND,C000000048,0.08265,16.11675,005-0745400,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGF
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76
  2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196428
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76 / 2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119,195,2,URBANO EXPRESS PERU SA,239666
92368,370049,RECIBO ENSOBRADO A5 FIJA,04/12/2019,120404406000003,SERV. IMPRESION VARIABLE A5,780,UND,C000000048,0.0175,13.65,005-0745400,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGF
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76
  2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196428
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76 / 2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119,195,2,URBANO EXPRESS PERU SA,239666
92368,370049,RECIBO ENSOBRADO A5 FIJA,04/12/2019,120404410000002,SERV. TRANSPROMO,195,UND,C000000048,0.0204,3.978,005-0745400,05/12/2019,"Descripción - Indicaciones Spools AFPs Ciclo 28.11.2019_19239_NR_MGF
 Comentarios - 1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76
  2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119
 PAQ - 02
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196428
 FechaCorte - 04/12/2019",5,1 : NR_C1128_MGF_LIMA_AFP_RESTANTES_TOTAL_76.afp - 76 / 2 : NR_C1128_MGF_PROV_AFP_RESTANTES_TOTAL_119.afp - 119,195,2,URBANO EXPRESS PERU SA,239666
92364,370053,EECC 3PLAY,04/12/2019,60404430000021,EECC 3PLAY,"3,714.00",UND,C000000048,0,0,005-0745396,05/12/2019,"Descripción - Apadece Consumer Desact 21.11 al 30.11 y Otros_3714
 Comentarios - 1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714
 PAQ - 2
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196279
 FechaCorte - 04/12/2019",5,1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714,3714,2,URBANO EXPRESS PERU SA,239676
92364,370053,EECC 3PLAY,04/12/2019,120404401000022,PREFORMA 3 PLAY 0616 CONTINUO,"3,714.00",UND,C000000048,0.03744,139.05216,005-0745396,05/12/2019,"Descripción - Apadece Consumer Desact 21.11 al 30.11 y Otros_3714
 Comentarios - 1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714
 PAQ - 2
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196279
 FechaCorte - 04/12/2019",5,1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714,3714,2,URBANO EXPRESS PERU SA,239676
92364,370053,EECC 3PLAY,04/12/2019,120404406000003,SERV. IMPRESION VARIABLE A5,"7,428.00",UND,C000000048,0.0175,129.99,005-0745396,05/12/2019,"Descripción - Apadece Consumer Desact 21.11 al 30.11 y Otros_3714
 Comentarios - 1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714
 PAQ - 2
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196279
 FechaCorte - 04/12/2019",5,1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714,3714,2,URBANO EXPRESS PERU SA,239676
92364,370053,EECC 3PLAY,04/12/2019,120404407000001,SERV. AUTOENSOBRADO,"3,714.00",UND,C000000048,0.04875,181.0575,005-0745396,05/12/2019,"Descripción - Apadece Consumer Desact 21.11 al 30.11 y Otros_3714
 Comentarios - 1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714
 PAQ - 2
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196279
 FechaCorte - 04/12/2019",5,1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714,3714,2,URBANO EXPRESS PERU SA,239676
92364,370053,EECC 3PLAY,04/12/2019,120404410000002,SERV. TRANSPROMO,"3,714.00",UND,C000000048,0.0204,75.7656,005-0745396,05/12/2019,"Descripción - Apadece Consumer Desact 21.11 al 30.11 y Otros_3714
 Comentarios - 1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714
 PAQ - 2
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 196279
 FechaCorte - 04/12/2019",5,1 : Apadece_Desact_3714_SP_hoja_1_PRODUCCION_2UP.pdf - 3714,3714,2,URBANO EXPRESS PERU SA,239676
